experiment,split,group,n_patches,fp_px,fn_px,tp_px,fp_per_patch,precision,recall,iou,dice,f1
E14,val,90m,3854,2519596,2740900,53512411,653.8,0.9550329153835219,0.9512757569061119,0.9104945413028475,0.953150633638495,0.953150633638495
E9,val,50m,2353,2126742,2683858,52736785,903.8,0.9612357769124086,0.9515729545036117,0.9164062797988112,0.9563799591546085,0.9563799591546085
E9,val,70m,2922,2198645,4897644,36209857,752.4,0.9427562939059667,0.8808576566111357,0.8361366767663859,0.9107564674748542,0.9107564674748542
E9,val,90m,3854,2396733,2770016,53483295,621.9,0.9571093092508813,0.9507581695946734,0.9119054539839716,0.9539231682024549,0.9539231682024549
E10,val,50m,2353,2099658,2666184,52754459,892.3,0.9617228730525351,0.9518918609443039,0.9171450441471075,0.9567821140576492,0.9567821140576492
E10,val,70m,2922,2100014,5025019,36082482,718.7,0.9450006097034597,0.8777590737028728,0.8350973667427973,0.9101395728391806,0.9101395728391806
E10,val,90m,3854,2413860,2784982,53468329,626.3,0.9568044838043103,0.950492123032543,0.9113841367943225,0.953637857770286,0.953637857770286
E11,val,50m,2353,2098093,2560471,52860172,891.7,0.9618238858158988,0.9537993270846733,0.9190078864041781,0.9577947989846022,0.9577947989846022
E11,val,70m,2922,2144174,4846513,36260988,733.8,0.9441696405290494,0.8821014928637942,0.8383718780833325,0.91208083421882,0.91208083421882
E11,val,90m,3854,2489103,2717743,53535568,645.8,0.9555713053629518,0.9516874126751385,0.9113613887233152,0.9536254044893673,0.9536254044893673
E7,val,50m,2353,3,48,55420595,0.0,0.9999999458685,0.9999991338967306,0.9999990797653261,0.9999995398824513,0.9999995398824513
E7,val,70m,2922,27,57,41107444,0.0,0.9999993431850843,0.9999986133917482,0.9999979565786564,0.9999989782882842,0.9999989782882842
E7,val,90m,3854,43,87,56253224,0.0,0.9999992355999502,0.9999984534243664,0.9999976890266828,0.9999988445120062,0.9999988445120062
E21,val,50m,2353,2082104,2372647,53047996,884.9,0.962232899994738,0.9571883891711597,0.9225297706212177,0.9597040157387264,0.9597040157387264
E21,val,70m,2922,2187878,4715532,36391969,748.8,0.9432896143937509,0.8852877969886789,0.8405508818851064,0.913368807304265,0.913368807304265
